City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Port Lincoln,AU,-34.7333,135.8667,66.56,57,100,13.82,overcast clouds
263,Kenai,US,60.5544,-151.2583,30.15,82,40,10.36,scattered clouds
264,Clinton,US,42.587,-82.9199,42.3,90,100,8.01,moderate rain
265,Maningrida,AU,-12.0667,134.2667,92.75,51,100,4.63,overcast clouds
266,Belyy Yar,RU,53.6039,91.3903,13.89,76,40,4.47,scattered clouds
267,Hamilton,US,39.1834,-84.5333,42.76,74,100,18.41,overcast clouds
268,Quelimane,MZ,-17.8786,36.8883,76.95,94,20,0.0,few clouds
269,Banjar,ID,-8.19,114.9675,83.77,77,92,3.91,overcast clouds
270,Armidale,AU,-30.5167,151.65,68.83,54,86,11.68,overcast clouds
271,Tilichiki,RU,60.4667,166.1,-22.67,90,15,10.13,few clouds
272,Gisborne,NZ,-38.6533,178.0042,71.26,75,49,5.21,scattered clouds
273,Wanaka,NZ,-44.7,169.15,66.09,58,77,7.25,broken clouds
274,Sept-Iles,CA,50.2001,-66.3821,15.8,62,0,9.22,clear sky
275,Chiang Khong,TH,20.2613,100.4046,80.64,47,8,1.99,clear sky
276,Tambovka,RU,50.0969,128.0489,-22.79,76,21,7.83,few clouds
277,Severo-Kurilsk,RU,50.6789,156.125,18.7,69,100,24.49,overcast clouds
278,Quatre Cocos,MU,-20.2078,57.7625,77.09,87,100,10.56,light rain
279,Leningradskiy,RU,69.3833,178.4167,-14.94,98,100,15.61,light snow
280,Dhar,IN,22.6,75.3,69.17,45,61,6.24,broken clouds
281,Nizhnevartovsk,RU,60.9344,76.5531,-5.78,71,0,6.71,clear sky
282,Nuuk,GL,64.1835,-51.7216,5.88,71,15,20.0,few clouds
283,Pak Phanang,TH,8.3511,100.202,84.22,71,99,11.63,overcast clouds
284,Shingu,JP,33.7333,135.9833,53.6,49,6,13.38,clear sky
285,Muntilan,ID,-7.5811,110.2928,81.5,72,80,5.57,broken clouds
286,Kodinar,IN,20.7903,70.7031,70.23,35,3,8.19,clear sky
287,Kodiak,US,57.79,-152.4072,36.91,87,100,11.5,overcast clouds
288,Naryan-Mar,RU,67.6713,53.087,29.21,89,98,22.21,overcast clouds
289,Dingle,PH,10.9995,122.6711,82.26,79,90,15.93,overcast clouds
290,Cabedelo,BR,-6.9811,-34.8339,75.87,79,89,8.39,overcast clouds
291,Weligama,LK,5.9667,80.4167,80.11,57,46,6.06,scattered clouds
292,Tuatapere,NZ,-46.1333,167.6833,63.75,60,39,17.92,scattered clouds
293,Amahai,ID,-3.3333,128.9167,86.27,63,88,5.53,overcast clouds
294,Port Macquarie,AU,-31.4333,152.9167,71.89,74,99,12.26,overcast clouds
295,Arlit,NE,18.7369,7.3853,61.99,13,1,5.84,clear sky
296,Sakakah,SA,29.9697,40.2064,45.97,59,0,6.96,clear sky
297,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,75,100,16.11,overcast clouds
298,San Francisco,US,37.7749,-122.4194,50.67,76,40,5.01,scattered clouds
299,Port Antonio,JM,18.18,-76.4612,78.71,80,36,4.88,scattered clouds
300,Viedma,AR,-40.8135,-62.9967,76.19,62,80,14.0,broken clouds
301,Palauig,PH,15.435,119.9045,85.26,56,83,4.18,broken clouds
302,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.14,87,9,6.78,clear sky
303,Kiunga,PG,-6.1219,141.2906,87.84,60,74,4.94,broken clouds
304,Shangqiu,CN,34.45,115.65,38.71,17,98,8.72,overcast clouds
305,Chokurdakh,RU,70.6333,147.9167,-38.6,100,94,4.12,overcast clouds
306,Den Helder,NL,52.9599,4.7593,35.58,93,100,11.01,overcast clouds
307,Cockburn Town,TC,21.4612,-71.1419,76.75,75,31,19.17,scattered clouds
308,Omboue,GA,-1.5746,9.2618,74.86,91,100,3.27,overcast clouds
309,Lorengau,PG,-2.0226,147.2712,82.11,75,100,7.16,overcast clouds
310,Christchurch,NZ,-43.5333,172.6333,87.42,52,100,6.91,overcast clouds
311,Najran,SA,17.4924,44.1277,45.25,56,0,0.87,clear sky
312,Havre-Saint-Pierre,CA,50.2334,-63.5986,19.4,67,0,12.66,clear sky
313,Helong,CN,42.5397,128.9972,5.7,64,14,15.48,few clouds
314,Katsuura,JP,35.1333,140.3,53.38,56,22,12.03,few clouds
315,Daru,PG,-9.0763,143.2092,88.07,60,77,15.95,broken clouds
316,Tarakan,ID,3.3,117.6333,85.5,66,40,8.05,scattered clouds
317,Igrim,RU,63.1906,64.4162,9.28,97,100,4.54,overcast clouds
318,Seoul,KR,37.5683,126.9778,27.84,35,0,17.27,clear sky
319,Berezanskaya,RU,45.7056,39.5932,36.32,78,38,12.88,scattered clouds
320,Tuy Hoa,VN,13.0833,109.3,71.47,83,100,15.35,overcast clouds
321,Namibe,AO,-15.1961,12.1522,72.84,80,100,4.16,overcast clouds
322,Qaqortoq,GL,60.7167,-46.0333,20.97,95,100,3.56,overcast clouds
323,Sinnamary,GF,5.3833,-52.95,74.12,91,8,5.86,clear sky
324,Necochea,AR,-38.5473,-58.7368,70.12,68,7,16.26,clear sky
325,Czarnkow,PL,52.9021,16.5641,29.12,93,100,4.43,overcast clouds
326,Saint-Augustin,CA,51.226,-58.6502,20.3,72,100,16.96,overcast clouds
327,Torbat-E Jam,IR,35.244,60.6225,30.6,74,20,5.59,few clouds
328,Coquimbo,CL,-29.9533,-71.3436,62.33,88,0,3.44,clear sky
329,Sibolga,ID,1.7427,98.7792,84.13,64,89,3.96,overcast clouds
330,Itoman,JP,26.1247,127.6694,66.58,55,20,14.97,few clouds
331,Inverell,AU,-29.7833,151.1167,81.66,57,81,8.01,light rain
332,General Roca,AR,-39.0333,-67.5833,68.63,66,92,10.51,overcast clouds
333,Aklavik,CA,68.2191,-135.0107,-21.55,99,46,4.14,scattered clouds
334,Casambalangan,PH,18.3765,122.1274,74.46,78,71,16.31,broken clouds
335,Atar,MR,20.5169,-13.0499,61.14,45,0,6.67,clear sky
336,Whitehorse,CA,60.7161,-135.0538,27.37,86,20,17.27,few clouds
337,Santa Maria,BR,-29.6842,-53.8069,74.5,88,20,9.22,few clouds
338,Rawson,AR,-43.3002,-65.1023,80.96,43,78,14.29,broken clouds
339,Antalaha,MG,-14.9003,50.2788,75.06,89,99,4.56,overcast clouds
340,Aswan,EG,24.0934,32.907,59.0,62,0,8.03,clear sky
341,Itarema,BR,-2.9248,-39.9167,76.12,85,56,7.58,broken clouds
342,Sereflikochisar,TR,38.9393,33.5386,43.43,52,59,5.39,broken clouds
343,Paamiut,GL,61.994,-49.6678,10.54,81,19,25.12,few clouds
344,Betare Oya,CM,5.6,14.0833,66.31,31,54,5.01,broken clouds
345,Skjervoy,NO,70.0311,20.9714,24.8,65,95,15.41,overcast clouds
