City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
660,Florianopolis,BR,72.63,broken clouds,-27.6146,-48.5012,
661,Reconquista,AR,83.43,scattered clouds,-29.15,-59.65,
663,Wamba,NG,72.19,overcast clouds,8.9333,8.6,
664,Wonopringgo,ID,88.65,light rain,-6.9833,109.6167,
665,Gizo,SB,85.55,overcast clouds,-8.103,156.8419,
666,Mtwara,TZ,78.53,moderate rain,-10.2667,40.1833,
667,Statesboro,US,64.47,clear sky,32.4488,-81.7832,
668,Lokoja,NG,75.24,broken clouds,7.8024,6.743,
669,Bougouni,ML,70.52,few clouds,11.417,-7.479,
672,Mweka,CD,68.58,light rain,-4.85,21.5667,
674,Luau,AO,64.06,overcast clouds,-10.7073,22.2247,
676,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,
677,Qiongshan,CN,67.98,clear sky,20.0058,110.3542,
678,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,
680,Plettenberg Bay,ZA,65.1,clear sky,-34.0527,23.3716,
682,Dourbali,TD,67.48,broken clouds,11.8091,15.8632,
684,San,ML,70.97,clear sky,13.3034,-4.8956,
